Page ID,Page name,Disclaimer,Amount spent (USD)
405036766556129,Lou and Josh 2022,Committee to Re-Elect Leon Guerrero & Tenorio,3726
308817409741999,Governor Lou Leon Guerrero,Office of the Governor of Guam,2830
629062130882339,Congressman Michael F.Q. San Nicolas - Guam,United States House of Representatives,1484
109066018392018,Responsible Guam PAC,Responsible Guam PAC,1400
111006106975721,Celebration of Asher's Life,David J. Lubofsky,≤100
398757490729,The National Network to End Domestic Violence,"NATIONAL NETWORK TO END DOMESTIC VIOLENCE, INC.",≤100
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100
101301278284850,Ken Leon Guerrero for Senator,Ken Leon Guerrero for Senator,≤100
1619846278287279,Progressive Democrats of Guam,Julian Christopher Janssen,≤100
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100
769023119828077,"Generation Renewable, Inc.",These ads ran without a disclaimer,≤100
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100
106597228718144,Downloader Zb,These ads ran without a disclaimer,≤100
102040279188611,Support Ukrainians WW,These ads ran without a disclaimer,≤100
529660253742398,Hawaiian Electric,"HAWAIIAN ELECTRIC COMPANY, INC.",≤100
101660089132919,Scanner,These ads ran without a disclaimer,≤100
102874232203527,New Page,These ads ran without a disclaimer,≤100
290980968206977,GameDay News,These ads ran without a disclaimer,≤100
0,Instagram User 3521812748,These ads ran without a disclaimer,≤100
